iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
2477,Greenland,Extant,Native,Native,8,West Greenland,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Greenland,Extant,Native,Native,9,East Greenland,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Equatorial Guinea,Extant,Native,Native,NA,Equatorial Guinea,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Greece,Extant,Native,Native,NA,Greece,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,South Georgia and the South Sandwich Islands,Extant,Native,Native,NA,South Georgia and the South Sandwich Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Guatemala,Extant,Native,Native,NA,Guatemala,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Indonesia,Extant,Native,Native,NA,Indonesia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Ireland,Extant,Native,Native,NA,Ireland,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,India,Extant,Native,Native,NA,India,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Iraq,Extant,Native,Native,NA,Iraq,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,"Iran, Islamic Republic of",Extant,Native,Native,NA,Iran,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Iceland,Extant,Native,Native,NA,Iceland,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Japan,Extant,Native,Native,NA,Japan,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Kenya,Extant,Native,Native,NA,Kenya,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Comoros,Extant,Native,Native,NA,Comoro Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Sri Lanka,Extant,Native,Native,NA,Sri Lanka,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Morocco,Extant,Native,Native,NA,Morocco,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Madagascar,Extant,Native,Native,NA,Madagascar,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Marshall Islands,Extant,Native,Native,NA,Marshall Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Myanmar,Extant,Native,Native,NA,Myanmar,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Northern Mariana Islands,Extant,Native,Native,NA,Northern Mariana Islands and Guam,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Mauritania,Extant,Native,Native,NA,Mauritania,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Mauritius,Extant,Native,Native,NA,Mauritius,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Maldives,Extant,Native,Native,NA,Maldives,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Mexico,Extant,Native,Native,NA,Mexico,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Malaysia,Extant,Native,Native,NA,Malaysia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Mozambique,Extant,Native,Native,NA,Mozambique,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Namibia,Extant,Native,Native,NA,Namibia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,New Caledonia,Extant,Native,Native,NA,New Caledonia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Nigeria,Extant,Native,Native,NA,Nigeria,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Nicaragua,Extant,Native,Native,NA,Nicaragua,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Norway,Extant,Native,Native,6,Norway,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,New Zealand,Extant,Native,Native,NA,New Zealand,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Oman,Extant,Native,Native,NA,Oman,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Panama,Extant,Native,Native,NA,Panama,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Peru,Extant,Native,Native,NA,Peru,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Philippines,Extant,Native,Native,NA,Philippines,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Pakistan,Extant,Native,Native,NA,Pakistan,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Saint Pierre and Miquelon,Extant,Native,Native,NA,Saint Pierre and Miquelon,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Pitcairn,Extant,Native,Native,NA,Pitcairn,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Portugal,Extant,Native,Native,NA,Portugal,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Palau,Extant,Native,Native,NA,Palau,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Réunion,Extant,Native,Native,NA,Reunion,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Russian Federation,Extant,Native,Native,4,Russia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Seychelles,Extant,Native,Native,NA,Seychelles,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,Native,NA,Ascension,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,Native,NA,Saint Helena,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,Native,NA,Tristan da Cunha,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Senegal,Extant,Native,Native,NA,Senegal,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Somalia,Extant,Native,Native,NA,Somalia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Sao Tomé and Principe,Extant,Native,Native,NA,Sao Tome and Principe,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,El Salvador,Extant,Native,Native,NA,El Salvador,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,French Southern Territories,Extant,Native,Native,NA,Amsterdam Island and Saint Paul Island,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,French Southern Territories,Extant,Native,Native,NA,Crozet Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,French Southern Territories,Extant,Native,Native,NA,Kerguelen Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Togo,Extant,Native,Native,NA,Togo,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Thailand,Extant,Native,Native,NA,Thailand,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Timor-Leste,Extant,Native,Native,NA,East Timor,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,"Taiwan, Province of China",Extant,Native,Native,NA,Taiwan,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,"Tanzania, United Republic of",Extant,Native,Native,NA,Tanzania,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
