"cell_id","ocean","fao_id","rgn_name","proportionArea","rgn_id","area"
812,"Arctic",18,NA,NA,NA,NA
813,"Arctic",18,NA,NA,NA,NA
814,"Arctic",18,NA,NA,NA,NA
815,"Arctic",18,NA,NA,NA,NA
816,"Arctic",18,NA,NA,NA,NA
817,"Arctic",18,NA,NA,NA,NA
818,"Arctic",18,NA,NA,NA,NA
819,"Arctic",18,NA,NA,NA,NA
820,"Arctic",18,NA,NA,NA,NA
821,"Arctic",18,NA,NA,NA,NA
822,"Arctic",18,NA,NA,NA,NA
823,"Arctic",18,NA,NA,NA,NA
824,"Arctic",18,NA,NA,NA,NA
825,"Arctic",18,NA,NA,NA,NA
826,"Arctic",18,NA,NA,NA,NA
827,"Arctic",18,NA,NA,NA,NA
828,"Arctic",18,NA,NA,NA,NA
829,"Arctic",18,NA,NA,NA,NA
830,"Arctic",18,NA,NA,NA,NA
831,"Arctic",18,NA,NA,NA,NA
832,"Arctic",18,NA,NA,NA,NA
833,"Arctic",18,NA,NA,NA,NA
834,"Arctic",18,NA,NA,NA,NA
835,"Arctic",18,NA,NA,NA,NA
836,"Arctic",18,NA,NA,NA,NA
837,"Arctic",18,NA,NA,NA,NA
838,"Arctic",18,NA,NA,NA,NA
839,"Arctic",18,NA,NA,NA,NA
840,"Arctic",18,NA,NA,NA,NA
841,"Arctic",18,NA,NA,NA,NA
842,"Arctic",18,NA,NA,NA,NA
843,"Arctic",18,NA,NA,NA,NA
